Category: All categories

City,zepto: (2/23/25 - 2/23/26),blinkit: (2/23/25 - 2/23/26),instamart: (2/23/25 - 2/23/26)
Jaitikhera,,,
Banda Mailaram,,,
Thailavaram,,,
Mastemau,,,
Khijadiya Khan,,,
Yakubpur,,,
Naika,,,
Uttardhauna,,,
Puthi Saman,,,
Sarang Ka Bas,,,
Nadargul Rural,,,
Baraulikhalilabad,,,
Kattankolatur R.F.,,,
Thirmalagiri,,,
Venkannaguda,,,
Perungalathur,,,
Padur,,,
Ghaila,,,
Kazhipathur,,,
Sarai,,,
Ashkrodi,,,
Thethupatti,,,
Siruseri,,,
Muzaffar Nagar Ghusval,,,
Nurpur Jharsa,,,
Bajrang Nagar,,,
Timmapuram,,,
Naubasta Kala,,,
Irandankattalai,,,
Vandalur R.F.,,,
Kattankulathur,54%,37%,9%
Mohammadpur Barkal,,,
Khodiyar,,,
Khadsad,,,
Nijampur Majhigaon,,,
Pudupakkam,,,
Dhaliawas,,,
Kelambakkam,,,
Majarguda,,,
Narivali,,,
Abhepur,,,
Nattarasanpattu,,,
Maruti Kunj,,,
Misripur,,,
Saniya Hemad,,,
Greater Noida,38%,52%,10%
Chandon Gobindgarh,,,
Badali,,,
Ammapettai,,,
Chilamkur,,,
Thirutheri R.F.,,,
Siwaya-Jamalullapur,,,
Nilje Gaon,,,
Kolapakkam,,,
Chikkachowti,,,
Koralur,,,
Badesahebguda,,,
Marsur,,,
Badokhar,,,
Jakhauli,,,
Palghar,,,
Godambewadi,,,
Kalli Pashchim,,,
Noida,40%,52%,8%
Behlpa,,,
Shindewadi,,,
Secunderabad,51%,33%,16%
Bengaluru,46%,40%,14%
Ghaziabad,39%,52%,9%
Sengundram,,,
Seshagiripura,,,
Yamare,,,
Sarauna,,,
Kharar,35%,52%,13%
Wadki,,,
Gurgaon,35%,57%,8%
Pavli Khas,,,
Dombivli,43%,42%,15%
Kadarpur,,,
Badlapur,43%,48%,9%
Boisar,,,
Markal,,,
Bommasandra,,,
Guduvanchery,,,
Nala Sopara,,,
Khatoli,,,
Ulhasnagar,47%,39%,14%
Hyderabad,47%,38%,15%
Mumbai,47%,41%,12%
Madhavaram East,,,
Davangere,,,
Dharuhera,,,
Vijayanallur,,,
Karimnagar,54%,24%,22%
Maraimalai Nagar,,,
Ambernath,,,
Northern Rly. Colony,,,
Pali,,,
Daiwghat,,,
Navi Mumbai,45%,43%,12%
New Delhi,34%,56%,10%
Sodasaroli,,,
Malakpur,,,
Nandivaram-Guduvancheri,,,
Virar,42%,50%,8%
Pimpri-Chinchwad,39%,50%,11%
Avadi,,,
Mira Bhayandar,39%,48%,13%
Thane,47%,40%,13%
Sanauli,,,
Warangal,,,
Panguru,,,
Gordhan Vilas Rural,,,
Ambchhapa,,,
Byrappanahalli,,,
Mittlakatte,,,
Nacholi,,,
Rangatanr,,,
Kamaska,,,
Pattabiram,,,
Shoranur,,,
Chennai,50%,33%,17%
Kathwada,,,
Dera Bassi,,,
Vaddinahalli,,,
Pundas,,,
Lalpur,,,
Chhat,,,
Arua,,,
Sahibzada Ajit Singh Nagar,31%,55%,14%
Santej,,,
Gazipur,,,
Darawali,,,
Sohna,,,
Koila Alipur Bangar,,,
Shela,,,
Zirakpur,,,
Vanasthali,,,
Kurmaguda,,,
Anupuram,,,
Nashik,50%,38%,12%
Kasala Khurd,,,
Gulabgarh,,,
Anora,,,
Pochampalle Wada,,,
Mangadewadi,,,
Yewalewadi,,,
Dahanu,,,
Dehu Road,,,
Bijnor,,,
Panchkula,31%,58%,11%
Jigani,,,
Kurukshetra,,,
Chiloki,,,
Bonthagahalli,,,
Erkudi,,,
Hubali-Dharwad,43%,45%,12%
Kilakondaiyur,,,
Shivadenahalli,,,
Pimplad,51%,37%,12%
Dehradun,24%,63%,13%
Faridabad,32%,59%,9%
Tadepalli,,,
Mirpur,,,
Manjari Khurd,,,
Bhagwasi,,,
Tharavur,,,
Boonga,,,
Dadri,,,
Palakkad,,,
Kudasan,,,
Khatwad,,,
Basantpur Saitli,,,
Bhiwadi,,,
Geratnagar,,,
Suragajakkanahalli,,,
Jadigenahalli Plantation,,,
Daira,,,
Joniawas,,,
Sehat Khadar,,,
Anjur R.F.,,,
Malur,,,
Kalyan,37%,49%,14%
Jaipur,34%,56%,10%
Kherwali Paiwala,,,
Rasoolpur Sadat,,,
Pune,36%,52%,12%
Alawalpur,,,
Belagavi,39%,48%,13%
Nemmeli,,,
Somnath,,,
Undavalli,,,
Murlipur Phool,,,
Tangori,,,
Ahire,,,
Roorkee,,,
Gohalli,,,
Kolkata,30%,58%,12%
Lapkaman,,,
Vasai,34%,53%,13%
