Category: All categories

Week,zepto: (India),blinkit: (India),instamart: (India)
2025-02-16,49,49,12
2025-02-23,49,50,13
2025-03-02,51,53,13
2025-03-09,59,54,15
2025-03-16,52,53,14
2025-03-23,47,48,13
2025-03-30,47,54,14
2025-04-06,45,52,15
2025-04-13,44,54,13
2025-04-20,42,53,12
2025-04-27,44,57,14
2025-05-04,42,54,13
2025-05-11,45,56,13
2025-05-18,40,61,14
2025-05-25,42,60,14
2025-06-01,48,65,16
2025-06-08,45,68,15
2025-06-15,40,63,14
2025-06-22,38,63,17
2025-06-29,37,64,15
2025-07-06,41,64,15
2025-07-13,40,63,15
2025-07-20,41,69,15
2025-07-27,43,70,15
2025-08-03,56,88,22
2025-08-10,49,80,19
2025-08-17,51,73,16
2025-08-24,45,77,16
2025-08-31,44,75,17
2025-09-07,41,67,15
2025-09-14,38,64,17
2025-09-21,42,71,19
2025-09-28,46,77,19
2025-10-05,46,79,18
2025-10-12,49,85,23
2025-10-19,49,87,21
2025-10-26,44,74,19
2025-11-02,44,75,20
2025-11-09,44,85,22
2025-11-16,46,76,22
2025-11-23,43,73,19
2025-11-30,45,79,20
2025-12-07,44,81,20
2025-12-14,47,78,19
2025-12-21,52,91,25
2025-12-28,46,89,22
2026-01-04,47,86,22
2026-01-11,45,90,19
2026-01-18,44,85,19
2026-01-25,46,84,21
2026-02-01,48,97,22
2026-02-08,56,100,29
2026-02-15,53,89,23
2026-02-22,56,100,25
